specimen;total_thickness;tape_thickness;loading_step;strain;crack_density
S_300_140_8;300;140;3150;0,018642668;0,568181818
S_300_95_7;300;95;100;0;0
S_300_95_7;300;95;400;0,001297683;0
S_300_95_7;300;95;650;0,001562558;0
S_300_95_7;300;95;900;0,001800381;0
S_300_95_7;300;95;1150;0,003033506;0
S_300_95_7;300;95;1400;0,003729286;0,016666667
S_300_95_7;300;95;1650;0,004187942;0,033333333
S_300_95_7;300;95;1850;0,006564958;0,083333333
S_300_95_7;300;95;2050;0,007804424;0,216666667
S_300_95_7;300;95;2250;0,00906756;0,233333333
S_300_95_7;300;95;2450;0,009205571;0,45
S_300_95_7;300;95;2650;0,010310855;0,55
S_300_95_7;300;95;2850;0,010705362;0,583333333
S_300_95_7;300;95;3050;0,012272827;0,65
S_300_95_7;300;95;3250;0,012446923;0,683333333
S_300_95_7;300;95;3400;0,013262199;0,683333333
S_300_95_7;300;95;3500;0,014044883;0,7
S_300_95_7;300;95;3600;0,016236735;0,716666667
S_300_95_8;300;95;100;0,001314241;0
S_300_95_8;300;95;400;0,002175484;0
S_300_95_8;300;95;650;0,002862841;0
S_300_95_8;300;95;900;0,003478732;0
S_300_95_8;300;95;1150;0,004524376;0,016233766
S_300_95_8;300;95;1400;0,005323568;0,016233766
S_300_95_8;300;95;1650;0,00623972;0,032467532
S_300_95_8;300;95;1850;0,008190643;0,048701299
S_300_95_8;300;95;2050;0,008209273;0,064935065
S_300_95_8;300;95;2250;0,009242924;0,146103896
S_300_95_8;300;95;2450;0,010050598;0,227272727
S_300_95_8;300;95;2650;0,01042752;0,25974026
S_300_95_8;300;95;2850;0,011448026;0,324675325
S_300_95_8;300;95;3050;0,012478221;0,357142857
S_300_95_8;300;95;3250;0,0131782;0,422077922
S_300_95_8;300;95;3400;0,013790334;0,454545455
S_300_95_8;300;95;3500;0,014626211;0,487012987
S_300_65_6;300;65;100;0,00048291;0
S_300_65_6;300;65;400;0,00125078;0
S_300_65_6;300;65;700;0,001824032;0
S_300_65_6;300;65;950;0,002741243;0
S_300_65_6;300;65;1200;0,003709752;0
S_300_65_6;300;65;1450;0,004473173;0
S_300_65_6;300;65;1700;0,005270846;0
S_300_65_6;300;65;1950;0,006136967;0
S_300_65_6;300;65;2200;0,007221338;0
S_300_65_6;300;65;2400;0,008584379;0
S_300_65_6;300;65;2600;0,009546436;0
S_300_65_6;300;65;2800;0,010342386;0
S_300_65_6;300;65;3000;0,011261566;0
S_300_65_6;300;65;3200;0,012084746;0
S_300_65_6;300;65;3400;0,012998822;0
S_300_65_6;300;65;3600;0,013733127;0
S_300_65_6;300;65;3800;0,014449405;0,016233766
S_300_65_6;300;65;4000;0,015307524;0,016233766
S_300_65_6;300;65;4200;0,016059915;0,032467532
S_300_65_6;300;65;???;0,017155731;0,032467532
S_300_65_7;300;65;100;0;0
S_300_65_7;300;65;400;-0,000318833;0
S_300_65_7;300;65;700;0,000411682;0
S_300_65_7;300;65;950;0,000580864;0
S_300_65_7;300;65;1200;0,00109405;0
S_300_65_7;300;65;1450;0,001655731;0
S_300_65_7;300;65;1700;0,002872616;0
S_300_65_7;300;65;1950;0,00373364;0
S_300_65_7;300;65;2200;0,004795608;0
S_300_65_7;300;65;2400;0,00567627;0
S_300_65_7;300;65;2600;0,007124995;0
S_300_65_7;300;65;2800;0,007959584;0
S_300_65_7;300;65;3000;0,008894947;0
S_300_65_7;300;65;3200;0,010086049;0
S_300_65_7;300;65;3400;0,011038339;0
S_300_65_7;300;65;3600;0,012046717;0
S_300_65_7;300;65;3800;0,013351807;0,016393443
S_300_65_7;300;65;4000;0,014055082;0,032786885
S_300_65_7;300;65;4200;0,015621164;0,032786885
S_300_65_7;300;65;???;0,016569189;0,049180328
S_200_95_7;200;95;100;0,001267165;0
S_200_95_7;200;95;350;0,002028979;0
S_200_95_7;200;95;600;0,003208422;0
S_200_95_7;200;95;850;0,003377949;0
S_200_95_7;200;95;1100;0,004683423;0
S_200_95_7;200;95;1300;0,006601937;0
S_200_95_7;200;95;1500;0,006569795;0,016233766
S_200_95_7;200;95;1700;0,00732307;0,064935065
S_200_95_7;200;95;1900;0,007941165;0,081168831
S_200_95_7;200;95;2050;0,00898552;0,113636364
S_200_95_7;200;95;2200;0,009791102;0,12987013
S_200_95_7;200;95;2350;0,010226163;0,146103896
S_200_95_7;200;95;2500;0,01116769;0,162337662
S_200_95_7;200;95;2650;0,011843422;0,211038961
